	"MYC2"	"AtAIB"	"TAT3"	"JAZ1"	"JAZ10"	"DIN11"	"At1g66690"	"At1g53885"	"PDF1.2b"
"jut_mock_0.5h"	0.9	0.79	1.06	0.67	0.36	1.79	2.01	10.19	12.43
"jut_mock_0.5h"	0.91	1.51	1.35	0.86	0.39	2	3.17	6.96	14.09
"jut_mock_1h"	1.17	1.14	0.22	0.11	0.27	0.13	4.46	5.96	8.02
"jut_mock_1h"	1.39	1.21	0.22	0.1	0.32	0.08	4.25	5.81	8.95
"jut_mock_1h"	1.08	1.03	0.2	0.11	0.51	0.13	5.26	4.38	11.95
"jut_mock_3h"	1.07	1.93	1.15	1.12	0.85	0.65	5.37	5.19	11.28
"jut_mock_3h"	1.14	1.71	1.26	1.21	0.56	0.28	5.24	5.68	17.69
"jut_mock_3h"	1.08	1.47	1.31	1.27	0.69	0.3	4.49	4.01	14.16
"jut_mock_6h"	1.66	2.22	1.21	0.41	1.02	0.85	4	3.74	38.44
"jut_mock_6h"	1.73	2.61	0.83	0.41	1.26	0.39	3.82	5.14	34.11
"jut_mock_6h"	1.42	1.93	0.84	0.36	1.27	0.27	4.13	3.46	26.64
"jut_MJ_0.0h"	0.94	0.8	0.85	3.67	2.46	0.87	1.97	4.4	12.33
"jut_MJ_0.0h"	0.82	0.86	0.93	4.34	1.89	0.88	2.3	5.46	15.71
"jut_MJ_0.0h"	0.85	0.84	0.85	4.61	2.89	0.64	2.09	4.03	11.02
"jut_MJ_0.5h"	3.75	4.81	5.68	27.53	39.84	4.64	3.58	14.86	20.13
"jut_MJ_0.5h"	2.64	5	4.01	25.55	47.01	6.42	3.95	10.21	17.68
"jut_MJ_0.5h"	2.32	4.15	3.95	23.68	35.11	5.38	3.57	12.27	18.36
"jut_MJ_1h"	4.39	2.36	0.57	6.32	12.79	0.61	5.78	6.63	25.5
"jut_MJ_1h"	4.1	2.08	0.61	7.27	7.68	0.68	4.73	6.27	16.87
"jut_MJ_1h"	4.38	1.68	0.53	6.96	5.55	0.53	4.03	5.35	20.38
"jut_MJ_3h"	3.65	2.83	2.06	0.45	5.36	0.4	4.9	3.09	17.06
